region,event,phase,source_file,match_id,match_label,game,map,map_mode,map_winner,map_score,team_1,team_2,match_winner,match_loser,ban_stage,ban_team,banned_hero,received_team,ban_note
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_20_match_2,2026-03-20 Match 2,3,Havana,Escort,Crazy Raccoon,score 4:3,Crazy Raccoon,ZETA DIVISION,ZETA DIVISION,Crazy Raccoon,initial,Crazy Raccoon,Ana,ZETA DIVISION,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_20_match_2,2026-03-20 Match 2,3,Havana,Escort,Crazy Raccoon,score 4:3,Crazy Raccoon,ZETA DIVISION,ZETA DIVISION,Crazy Raccoon,follow_up,ZETA DIVISION,Vendetta,Crazy Raccoon,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_20_match_2,2026-03-20 Match 2,4,Blizzard World,Hybrid,ZETA DIVISION,score 0:3,Crazy Raccoon,ZETA DIVISION,ZETA DIVISION,Crazy Raccoon,initial,ZETA DIVISION,D.Va,Crazy Raccoon,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_20_match_2,2026-03-20 Match 2,4,Blizzard World,Hybrid,ZETA DIVISION,score 0:3,Crazy Raccoon,ZETA DIVISION,ZETA DIVISION,Crazy Raccoon,follow_up,Crazy Raccoon,Illari,ZETA DIVISION,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_20_match_3,2026-03-20 Match 3,1,Busan,Control,ZAN Esports,score 2:1,ZAN Esports,ONSIDE GAMING,ONSIDE GAMING,ZAN Esports,initial,ONSIDE GAMING,Zarya,ZAN Esports,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_20_match_3,2026-03-20 Match 3,1,Busan,Control,ZAN Esports,score 2:1,ZAN Esports,ONSIDE GAMING,ONSIDE GAMING,ZAN Esports,follow_up,ZAN Esports,Emre,ONSIDE GAMING,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_20_match_3,2026-03-20 Match 3,2,Runasapi,Push,ONSIDE GAMING,distance 54.63m : 108.73m,ZAN Esports,ONSIDE GAMING,ONSIDE GAMING,ZAN Esports,initial,ONSIDE GAMING,Vendetta,ZAN Esports,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_20_match_3,2026-03-20 Match 3,2,Runasapi,Push,ONSIDE GAMING,distance 54.63m : 108.73m,ZAN Esports,ONSIDE GAMING,ONSIDE GAMING,ZAN Esports,follow_up,ZAN Esports,Brigitte,ONSIDE GAMING,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_20_match_3,2026-03-20 Match 3,3,Midtown,Hybrid,ONSIDE GAMING,score 1:2,ZAN Esports,ONSIDE GAMING,ONSIDE GAMING,ZAN Esports,initial,ZAN Esports,Symmetra,ONSIDE GAMING,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_20_match_3,2026-03-20 Match 3,3,Midtown,Hybrid,ONSIDE GAMING,score 1:2,ZAN Esports,ONSIDE GAMING,ONSIDE GAMING,ZAN Esports,follow_up,ONSIDE GAMING,Juno,ZAN Esports,
